本帮菜	g198	198	101
农家菜	g25474	25474	101
杭帮菜	g199	199	101
宁波菜	g200	200	101
淮扬菜	g201	201	101
绍兴菜	g202	202	101
日本料理	g224	224	113
寿司/简餐	g226	226	113
日式烧烤/铁板烧	g225	225	113
日式自助	g25151	25151	113
星巴克	g24645	24645	132
上岛咖啡	g24646	24646	132
迪欧咖啡	g24648	24648	132
两岸咖啡	g24650	24650	132
真锅咖啡厅	g24647	24647	132
SPR咖啡	g24649	24649	132
香啡缤	g24652	24652	132
快餐简餐	g210	210	112
小吃	g217	217	112
麻辣烫	g221	221	112
熟食	g222	222	112
包子	g1881	1881	112
馄饨	g213	213	112
饺子	g1819	1819	112
零食	g223	223	112
米粉	g216	216	112
粥店	g1821	1821	112
生煎	g211	211	112
小笼	g212	212	112
锅贴	g214	214	112
白斩鸡	g220	220	112
饮品	g244	244	117
西式甜点	g242	242	117
冰淇淋	g241	241	117
港台甜品	g243	243	117
重庆火锅	g32733	32733	110
鱼火锅	g3027	3027	110
涮羊肉	g208	208	110
小火锅	g4477	4477	110
西式简餐	g238	238	116
比萨	g24340	24340	116
意大利菜	g232	232	116
牛排	g254	254	116
法国菜	g231	231	116
西班牙菜	g233	233	116
拉美烧烤	g253	253	116
中东菜	g234	234	116
粤菜馆	g205	205	103
茶餐厅	g207	207	103
潮汕菜	g1947	1947	103
燕翅鲍	g206	206	103
川菜/家常菜	g4467	4467	102
香锅	g4469	4469	102
烤鱼	g4473	4473	102
泰国菜	g227	227	115
新加坡菜	g228	228	115
越南菜	g230	230	115
印度菜	g229	229	115
酒吧	g133	133	118
茶馆	g134	134	118
北京菜	g311	311	118
徽菜	g26482	26482	118
创意菜	g250	250	118
融合菜	g2774	2774	118
鲁菜	g26483	26483	118
闽菜	g249	249	118
湖北菜	g246	246	118
山西菜	g26484	26484	118
其他中餐	g252	252	118
